soc_code,title,aai,aai_manus,rank,frey_probability,label,occupation,claude_usage,employment_2025,median_wage_2025,employment_2010,median_wage_2010,education_level,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,rl_feasibility,cognitive_ability_share
51-9022,"Grinding and Polishing Workers, Hand",0.1290788355474586,0.1325183876362591,653.0,0.97,,"Grinding and polishing workers, hand",,10510.0,42660.0,27420.0,27370.0,No formal educational credential,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0,0.0357142857142857,0.0714285714285714,12.494117647058824,0.4025862684861042
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0.1180843786846376,0.1202180343039363,462.0,0.83,,"Mixing and blending machine setters, operators, and tenders",0.0058631157900222,94920.0,48990.0,123840.0,32870.0,High school diploma or equivalent,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0555555555555555,0.0833333333333333,0.1111111111111111,14.444999999999999,0.41469107885330797
51-9031,"Cutters and Trimmers, Hand",0.1006184586829912,0.1085558175452607,351.0,0.64,,"Cutters and trimmers, hand",,6060.0,38020.0,17420.0,24410.0,No formal educational credential,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.42053608247422675
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.1162635730523139,0.1153297461547494,496.0,0.86,,"Cutting and slicing machine setters, operators, and tenders",0.0300973277221143,44980.0,46570.0,61360.0,30000.0,High school diploma or equivalent,0.0454545454545454,0.0681818181818181,0.0909090909090909,0.0,0.0568181818181818,0.1136363636363636,12.444,0.41001306650161623
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.1068198433014476,0.1064807261566932,584.0,0.93,,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",,58770.0,45760.0,65100.0,31210.0,High school diploma or equivalent,0.075,0.075,0.075,0.025,0.075,0.125,17.15,0.40227651304830647
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.1164156459370547,0.1209719669962672,255.0,0.37,,"Furnace, kiln, oven, drier, and kettle operators and tenders",0.0029967036260113,14280.0,48040.0,18470.0,34400.0,High school diploma or equivalent,0.16,0.16,0.16,0.0,0.04,0.08,29.564705882352943,0.42558625493382857
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.1422400683748475,0.1424657068919374,670.0,0.98,,"Inspectors, testers, sorters, samplers, and weighers",0.0364294927753384,597370.0,48570.0,410750.0,33030.0,High school diploma or equivalent,0.2708333333333333,0.4166666666666666,0.5625,0.0416666666666666,0.1770833333333333,0.3125,39.119354838709675,0.45291583320510853
51-9071,Jewelers and Precious Stone and Metal Workers,0.0887164501688464,0.0980558542818457,626.0,0.95,,Jewelers and precious stone and metal workers,0.0068620169986927,22440.0,52540.0,21510.0,35170.0,High school diploma or equivalent,0.0714285714285714,0.1785714285714285,0.2857142857142857,0.0357142857142857,0.125,0.2142857142857142,12.22,0.46847224551400296
51-9081,Dental Laboratory Technicians,0.0676082856884266,0.0725732199804403,651.0,0.97,,Dental laboratory technicians,0.0031269950880118,34410.0,49610.0,38360.0,35140.0,High school diploma or equivalent,0.0,0.0416666666666666,0.0833333333333333,0.0,0.0416666666666666,0.0833333333333333,4.81764705882353,0.4629658506159363
51-9082,Medical Appliance Technicians,0.0799862119098346,0.0918426148919945,284.0,0.45,,Medical appliance technicians,0.0045602011700173,11280.0,48030.0,13320.0,35670.0,High school diploma or equivalent,0.0689655172413793,0.1379310344827586,0.2068965517241379,0.0689655172413793,0.1034482758620689,0.1379310344827586,7.959999999999999,0.45630038184132365
51-9083,Ophthalmic Laboratory Technicians,0.0867099157431345,0.0903404906566391,656.0,0.97,,Ophthalmic laboratory technicians,0.0071660304100272,18660.0,39460.0,27880.0,27970.0,High school diploma or equivalent,0.0,0.09375,0.1875,0.0,0.0625,0.125,4.627777777777777,0.43439799592923123
51-9111,Packaging and Filling Machine Operators and Tenders,0.1167382704734065,0.1096397991162611,681.0,0.98,,Packaging and filling machine operators and tenders,,379060.0,43220.0,342280.0,25270.0,High school diploma or equivalent,0.0,0.0,0.0,0.0,0.075,0.15,14.655000000000001,0.4158716071296502
51-9123,"Painting, Coating, and Decorating Workers",0.1039231461578362,0.1030325158118699,567.0,0.92,,"Painting, coating, and decorating workers",,7940.0,41600.0,23970.0,24400.0,No formal educational credential,0.0,0.0,0.0,0.0,0.0294117647058823,0.0588235294117647,0.0,0.42961038961038966
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.0938731172450932,0.091489898157931,,,,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",,158740.0,48250.0,,,High school diploma or equivalent,0.0217391304347826,0.0434782608695652,0.0652173913043478,0.0,0.0108695652173913,0.0217391304347826,6.3999999999999995,0.3949863525355551
